,구별,2018년,2019년,2020년,2021년,합계,총점
0,송파구,28,29,32,33,30.5,0.31
1,강남구,70,74,82,87,78.25,0.8
2,서초구,45,46,47,48,46.5,0.48
3,종로구,30,32,34,38,33.5,0.34
4,중구,48,51,54,55,52.0,0.53
5,용산구,15,16,19,20,17.5,0.18
6,성동구,8,10,11,11,10.0,0.1
7,마포구,28,30,30,31,29.75,0.3
8,광진구,13,15,16,17,15.25,0.16
9,동대문구,8,8,8,9,8.25,0.08
10,강동구,9,11,13,15,12.0,0.12
11,중랑구,6,6,8,8,7.0,0.07
12,성북구,11,13,13,14,12.75,0.13
13,강북구,5,5,5,5,5.0,0.05
14,노원구,9,11,12,13,11.25,0.12
15,양천구,13,14,15,17,14.75,0.15
16,은평구,7,8,8,8,7.75,0.08
17,서대문구,17,18,19,20,18.5,0.19
18,강서구,14,15,16,20,16.25,0.17
19,구로구,10,10,11,11,10.5,0.11
20,금천구,10,10,11,11,10.5,0.11
21,영등포구,30,33,34,38,33.75,0.35
22,동작구,7,10,10,10,9.25,0.09
23,관악구,9,11,11,11,10.5,0.11
24,도봉구,1,2,2,3,2.0,0.02
