,기간,구별,비율,합계
0,2018,강남구,3.87,0.55
1,2018,강동구,1.73,0.25
2,2018,강북구,0.89,0.13
3,2018,강서구,0.94,0.13
4,2018,관악구,0.72,0.1
5,2018,광진구,1.2,0.17
6,2018,구로구,1.23,0.18
7,2018,금천구,0.85,0.12
8,2018,노원구,1.15,0.16
9,2018,도봉구,0.77,0.11
10,2018,동대문구,1.93,0.28
11,2018,동작구,1.26,0.18
12,2018,마포구,0.83,0.12
13,2018,서대문구,2.12,0.3
14,2018,서초구,2.24,0.32
15,2018,성동구,1.08,0.15
16,2018,성북구,1.11,0.16
17,2018,송파구,1.88,0.27
18,2018,양천구,1.17,0.17
19,2018,영등포구,1.9,0.27
20,2018,용산구,0.98,0.14
21,2018,은평구,0.82,0.12
22,2018,종로구,5.34,0.76
23,2018,중구,3.42,0.49
24,2018,중랑구,1.01,0.14
25,2019,강남구,4.19,0.6
26,2019,강동구,1.92,0.27
27,2019,강북구,0.97,0.14
28,2019,강서구,1.14,0.16
29,2019,관악구,0.78,0.11
30,2019,광진구,1.26,0.18
31,2019,구로구,1.36,0.19
32,2019,금천구,0.97,0.14
33,2019,노원구,1.25,0.18
34,2019,도봉구,0.85,0.12
35,2019,동대문구,1.88,0.27
36,2019,동작구,1.34,0.19
37,2019,마포구,0.89,0.13
38,2019,서대문구,2.48,0.35
39,2019,서초구,2.45,0.35
40,2019,성동구,1.21,0.17
41,2019,성북구,1.16,0.17
42,2019,송파구,1.99,0.28
43,2019,양천구,1.16,0.17
44,2019,영등포구,2.02,0.29
45,2019,용산구,1.1,0.16
46,2019,은평구,1.01,0.14
47,2019,종로구,5.79,0.83
48,2019,중구,3.26,0.47
49,2019,중랑구,1.1,0.16
50,2020,강남구,4.5,0.64
51,2020,강동구,1.88,0.27
52,2020,강북구,1.07,0.15
53,2020,강서구,1.32,0.19
54,2020,관악구,0.81,0.12
55,2020,광진구,1.32,0.19
56,2020,구로구,1.44,0.21
57,2020,금천구,1.05,0.15
58,2020,노원구,1.32,0.19
59,2020,도봉구,0.89,0.13
60,2020,동대문구,1.94,0.28
61,2020,동작구,1.38,0.2
62,2020,마포구,0.96,0.14
63,2020,서대문구,2.51,0.36
64,2020,서초구,2.65,0.38
65,2020,성동구,1.26,0.18
66,2020,성북구,1.26,0.18
67,2020,송파구,2.13,0.3
68,2020,양천구,1.22,0.17
69,2020,영등포구,2.08,0.3
70,2020,용산구,1.13,0.16
71,2020,은평구,1.09,0.16
72,2020,종로구,6.31,0.9
73,2020,중구,3.57,0.51
74,2020,중랑구,1.19,0.17
