,기간,구별,혼인건수,조혼인율
0,2018.0,합계,"52,005",5.4
1,2018.0,종로구,676,5.0
2,2018.0,중구,778,6.4
3,2018.0,용산구,"1,400",6.0
4,2018.0,성동구,"2,000",7.0
5,2018.0,광진구,"2,164",6.0
6,2018.0,동대문구,"1,747",5.0
7,2018.0,중랑구,"2,253",6.0
8,2018.0,성북구,"1,919",4.4
9,2018.0,강북구,"1,344",4.0
10,2018.0,도봉구,"1,471",4.0
11,2018.0,노원구,"2,240",4.0
12,2018.0,은평구,"2,364",5.0
13,2018.0,서대문구,"1,393",5.0
14,2018.0,마포구,"2,229",6.1
15,2018.0,양천구,"1,957",4.2
16,2018.0,강서구,"3,835",7.0
17,2018.0,구로구,"2,286",6.0
18,2018.0,금천구,"1,269",6.0
19,2018.0,영등포구,"2,664",7.4
20,2018.0,동작구,"2,097",5.4
21,2018.0,관악구,"3,090",6.0
22,2018.0,서초구,"2,234",5.2
23,2018.0,강남구,"2,519",5.0
24,2018.0,송파구,"3,705",6.0
25,2018.0,강동구,"2,371",6.0
26,2019.0,합계,"48,261",5.0
27,2019.0,종로구,590,4.0
28,2019.0,중구,722,5.9
29,2019.0,용산구,"1,303",6.0
30,2019.0,성동구,"1,758",5.9
31,2019.0,광진구,"1,893",5.0
32,2019.0,동대문구,"1,613",5.0
33,2019.0,중랑구,"2,031",5.0
34,2019.0,성북구,"1,880",4.4
35,2019.0,강북구,"1,260",4.0
36,2019.0,도봉구,"1,316",4.0
37,2019.0,노원구,"2,138",4.0
38,2019.0,은평구,"2,178",5.0
39,2019.0,서대문구,"1,440",5.0
40,2019.0,마포구,"2,029",5.5
41,2019.0,양천구,"1,705",3.7
42,2019.0,강서구,"3,589",6.0
43,2019.0,구로구,"2,063",5.0
44,2019.0,금천구,"1,243",5.0
45,2019.0,영등포구,"2,449",6.8
46,2019.0,동작구,"2,057",5.3
47,2019.0,관악구,"2,802",6.0
48,2019.0,서초구,"2,084",4.9
49,2019.0,강남구,"2,338",4.0
50,2019.0,송파구,"3,651",6.0
51,2019.0,강동구,"2,129",5.0
52,2020.0,합계,"44,746",5.0
53,2020.0,종로구,565,4.0
54,2020.0,중구,653,5.4
55,2020.0,용산구,"1,175",5.0
56,2020.0,성동구,"1,573",5.4
57,2020.0,광진구,"1,661",5.0
58,2020.0,동대문구,"1,524",5.0
59,2020.0,중랑구,"1,850",5.0
60,2020.0,성북구,"1,672",3.9
61,2020.0,강북구,"1,041",3.0
62,2020.0,도봉구,"1,187",4.0
63,2020.0,노원구,"1,961",4.0
64,2020.0,은평구,"2,061",4.0
65,2020.0,서대문구,"1,260",4.0
66,2020.0,마포구,"1,929",5.3
67,2020.0,양천구,"1,637",3.6
68,2020.0,강서구,"3,233",6.0
69,2020.0,구로구,"2,063",5.0
70,2020.0,금천구,"1,285",6.0
71,2020.0,영등포구,"2,421",6.6
72,2020.0,동작구,"1,906",4.9
73,2020.0,관악구,"2,529",5.0
74,2020.0,서초구,"1,861",4.4
75,2020.0,강남구,"2,046",4.0
76,2020.0,송파구,"3,220",5.0
77,2020.0,강동구,"2,433",6.0
78,,,,
