,기간,구별,금융기관
2,2018,합계,"2,402"
3,2018,종로구,138
4,2018,중구,209
5,2018,용산구,86
6,2018,성동구,59
7,2018,광진구,62
8,2018,동대문구,69
9,2018,중랑구,36
10,2018,성북구,73
11,2018,강북구,36
12,2018,도봉구,36
13,2018,노원구,67
14,2018,은평구,46
15,2018,서대문구,59
16,2018,마포구,101
17,2018,양천구,73
18,2018,강서구,72
19,2018,구로구,72
20,2018,금천구,65
21,2018,영등포구,140
22,2018,동작구,62
23,2018,관악구,52
24,2018,서초구,213
25,2018,강남구,351
26,2018,송파구,152
27,2018,강동구,73
28,2018,합계,"2,294"
29,2018,종로구,130
30,2018,중구,201
31,2018,용산구,84
32,2018,성동구,60
33,2018,광진구,59
34,2018,동대문구,65
35,2018,중랑구,34
36,2018,성북구,65
37,2018,강북구,33
38,2018,도봉구,34
39,2018,노원구,62
40,2018,은평구,46
41,2018,서대문구,55
42,2018,마포구,97
43,2018,양천구,68
44,2018,강서구,72
45,2018,구로구,70
46,2018,금천구,61
47,2018,영등포구,135
48,2018,동작구,57
49,2018,관악구,48
50,2018,서초구,210
51,2018,강남구,331
52,2018,송파구,149
53,2018,강동구,68
54,2018,합계,"2,156"
55,2018,종로구,126
56,2018,중구,191
57,2018,용산구,74
58,2018,성동구,56
59,2018,광진구,56
60,2018,동대문구,58
61,2018,중랑구,32
62,2018,성북구,60
63,2018,강북구,29
64,2018,도봉구,30
65,2018,노원구,59
66,2018,은평구,40
67,2018,서대문구,54
68,2018,마포구,92
69,2018,양천구,64
70,2018,강서구,67
71,2018,구로구,68
72,2018,금천구,55
73,2018,영등포구,135
74,2018,동작구,51
75,2018,관악구,47
76,2018,서초구,190
77,2018,강남구,316
78,2018,송파구,144
79,2018,강동구,62
80,2018,합계,"2,139"
81,2018,종로구,124
82,2018,중구,190
83,2018,용산구,72
84,2018,성동구,58
85,2018,광진구,57
86,2018,동대문구,57
87,2018,중랑구,32
88,2018,성북구,57
89,2018,강북구,29
90,2018,도봉구,29
91,2018,노원구,59
92,2018,은평구,39
93,2018,서대문구,51
94,2018,마포구,91
95,2018,양천구,63
96,2018,강서구,69
97,2018,구로구,69
98,2018,금천구,54
99,2018,영등포구,138
100,2018,동작구,50
101,2018,관악구,46
102,2018,서초구,187
103,2018,강남구,314
104,2018,송파구,143
105,2018,강동구,61
106,2019,합계,"2,091"
107,2019,종로구,118
108,2019,중구,185
109,2019,용산구,72
110,2019,성동구,57
111,2019,광진구,54
112,2019,동대문구,56
113,2019,중랑구,32
114,2019,성북구,56
115,2019,강북구,27
116,2019,도봉구,27
117,2019,노원구,57
118,2019,은평구,39
119,2019,서대문구,50
120,2019,마포구,90
121,2019,양천구,61
122,2019,강서구,72
123,2019,구로구,66
124,2019,금천구,53
125,2019,영등포구,138
126,2019,동작구,48
127,2019,관악구,44
128,2019,서초구,183
129,2019,강남구,308
130,2019,송파구,139
131,2019,강동구,59
132,2020,합계,"1,987"
133,2020,종로구,115
134,2020,중구,176
135,2020,용산구,67
136,2020,성동구,53
137,2020,광진구,50
138,2020,동대문구,49
139,2020,중랑구,30
140,2020,성북구,51
141,2020,강북구,25
142,2020,도봉구,25
143,2020,노원구,53
144,2020,은평구,37
145,2020,서대문구,48
146,2020,마포구,89
147,2020,양천구,59
148,2020,강서구,68
149,2020,구로구,63
150,2020,금천구,49
151,2020,영등포구,132
152,2020,동작구,45
153,2020,관악구,41
154,2020,서초구,175
155,2020,강남구,297
156,2020,송파구,133
157,2020,강동구,57
