,기간,구별,면적,1인당면적
2,2019,서울시,168896.80,16.9
3,2019,종로구,11556.10,71.4
4,2019,중구,3155.10,23.1
5,2019,용산구,1779.60,7.3
6,2019,성동구,3100.00,10
7,2019,광진구,3363.50,9.2
8,2019,동대문구,1275.10,3.5
9,2019,중랑구,5205.30,12.9
10,2019,성북구,8329.40,18.3
11,2019,강북구,14342.30,45.1
12,2019,도봉구,10075.00,30
13,2019,노원구,14344.40,26.7
14,2019,은평구,13991.60,28.9
15,2019,서대문구,5143.30,15.9
16,2019,마포구,4440.00,11.5
17,2019,양천구,2912.00,6.3
18,2019,강서구,4370.30,7.3
19,2019,구로구,3336.10,7.6
20,2019,금천구,2206.20,8.8
21,2019,영등포구,3050.40,7.6
22,2019,동작구,4584.20,11.2
23,2019,관악구,10976.90,21.2
24,2019,서초구,16081.00,37
25,2019,강남구,6594.30,12
26,2019,송파구,4644.80,6.8
27,2019,강동구,3369.80,7.7

