,구별,평균,총점
0,노원구,8083332,0.55
1,도봉구,6634127,0.45
2,영등포구,11372042,0.77
3,금천구,6947966,0.47
4,동대문구,9402561,0.64
5,양천구,11075892,0.75
6,용산구,15651339,1.06
7,송파구,15322586,1.04
8,관악구,8423711,0.57
9,성동구,13912045,0.94
10,중구,10972551,0.74
11,강동구,11167321,0.76
12,강북구,7430068,0.5
13,성북구,8709675,0.59
14,중랑구,7361840,0.5
15,강서구,9446260,0.64
16,서초구,18666598,1.27
17,종로구,10281081,0.7
18,은평구,8009573,0.54
19,강남구,20650299,1.4
20,구로구,7576463,0.51
21,마포구,12946132,0.88
22,광진구,12075338,0.82
23,서대문구,9948667,0.67
24,동작구,11758204,0.8
